Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date
1456174,711 Food Mart  ,Convenience Store,711,Main Street Ext,,Harwich,MA,2645,2751,BARNSTABLE,41.68601,-70.07514,8/17/2021, 
540119,A & P FOOD MARKET/GRAND UNION LLC 177,Supermarket,484A,STATION AV, ,YARMOUTH,MA,2664, ,BARNSTABLE,41.68629,-70.20955,4/21/2003,10/5/2008
510324,A & P FOOD MARKET/GRAND UNION LLC 179,Supermarket,61,QUAKER MTG HOUSE RD, ,SANDWICH,MA,2563, ,BARNSTABLE,41.7653,-70.50037,4/21/2003,12/17/2006
776711,A SLICE OF ITALY  ,Combination Grocery/Other,890,Main St, ,Falmouth,MA,2540,3656,BARNSTABLE,41.5551,-70.60029,2/27/2006,5/20/2007
1203634,A To Z Convenience  ,Convenience Store,1011,ma-28, ,South Yarmouth,MA,2664, ,BARNSTABLE,41.65656,-70.20163,7/14/2015, 
517572,A&P FOOD MARKET/GRAND UNION LLC 182,Super Store,28,Shank Painter Rd, ,Provincetown,MA,2657, ,BARNSTABLE,42.04897,-70.19355,4/21/2003,12/17/2006
517572,A&P FOOD MARKET/GRAND UNION LLC 182,Super Store,28,Shank Painter Rd, ,Provincetown,MA,2657, ,BARNSTABLE,42.04897,-70.19355,5/21/2007,1/12/2009
1096436,AJ Mart  ,Convenience Store,459,Main St, ,Hyannis,MA,2601,3925,BARNSTABLE,41.6516,-70.28634,7/5/2013,5/11/2016
1242336,Aj Mart  ,Small Grocery Store,459,Main St, ,Hyannis,MA,2601,3925,BARNSTABLE,41.65158,-70.28638,5/31/2016, 
1621680,ALDI 73166,Supermarket,39,Davis Straits, ,Falmouth,MA,2540,3905,BARNSTABLE,41.55696,-70.59817,10/24/2024, 
1526659,Alemao's Butchery  ,Small Grocery Store,674,Main St,,Hyannis,MA,2601,5413,BARNSTABLE,41.6485,-70.29271,12/22/2022,8/29/2023
787943,AM/PM CONVENIENCE  ,Convenience Store,489,BEARSES WAY, ,HYANNIS,MA,2601, ,BARNSTABLE,41.66253,-70.29942,5/31/2006, 
1443040,America & Caribbean Market Inc  ,Small Grocery Store,11,Enterprise Rd,Ste 14,Hyannis,MA,2601,2256,BARNSTABLE,41.6674,-70.30287,4/23/2021,2/27/2023
1535859,Andrea's West Yarmouth Fish And Lobster  ,Seafood Specialty,679,Route 28,,West Yarmouth,MA,2673,5102,BARNSTABLE,41.64829,-70.22391,5/1/2023, 
673716,ANDY'S MARKET INC  ,Combination Grocery/Other,425,Nathan Ellis Hwy, ,Mashpee,MA,2649,3149,BARNSTABLE,41.61588,-70.51884,7/1/1982,4/7/2010
1465718,Archangel Michael International Food Market  ,Convenience Store,1223,Main St,,Chatham,MA,2633,2726,BARNSTABLE,41.68496,-69.97929,10/6/2021,8/17/2023
303898,ARNOLD BAKERY OUTLET STORE  ,Bakery Specialty,187B,W Main St, ,Hyannis,MA,2601,3737,BARNSTABLE,0.0,0.0,10/25/1996,1/11/2005
786465,B & D CONVENIENCE STORE  ,Convenience Store,109,MAIN ST, ,W DENNIS,MA,2670, ,BARNSTABLE,41.66436,-70.17716,5/24/2006,3/13/2007
1492295,Barnstable Market  ,Combination Grocery/Other,3220,Main St,,Barnstable,MA,2630,1107,BARNSTABLE,41.7018,-70.30309,4/5/2022,9/2/2024
1412612,Big Lots 4721,Combination Grocery/Other,400,Main St, ,Dennis Port,MA,2639,1319,BARNSTABLE,41.66657,-70.13277,7/9/2020,3/26/2025
882837,BJ's Wholesale Club 321,Super Store,420,Attucks Ln, ,Hyannis,MA,2601,8141,BARNSTABLE,41.67698,-70.30316,2/11/2009, 
745192,BLUE BAY FARMS  ,Convenience Store,149,North St, ,Hyannis,MA,2601,3807,BARNSTABLE,41.65253,-70.28784,3/18/2005,2/11/2007
1215253,BND Dollar Saver Convenience  ,Convenience Store,401,Nathan Ellis Hwy,Ste 7,Mashpee,MA,2649,6005,BARNSTABLE,41.61606,-70.51698,9/29/2015,5/30/2016
1456772,Bolt Grocery Llc  ,Medium Grocery Store,70,Center St,,Hyannis,MA,2601,5599,BARNSTABLE,41.6562,-70.28133,7/19/2021, 
1434088,Bootstrap Farm Club  ,Small Grocery Store,1,Scraggy Neck Extention, ,Cataumet,MA,2534, ,BARNSTABLE,41.66448,-70.60783,1/22/2021,5/5/2025
963610,Bourne Bridge Mobil  ,Convenience Store,2,Head of the Bay Rd, ,Buzzards Bay,MA,2532,3009,BARNSTABLE,41.75263,-70.59835,9/3/2010,12/26/2019
1393118,Bourne Bridge Mobil  ,Convenience Store,2,Head of the Bay Rd,,Buzzards Bay,MA,2532,3009,BARNSTABLE,41.75245,-70.59802,1/28/2020, 
812364,Bourne Sunoco  ,Convenience Store,282,Main St, ,Buzzards Bay,MA,2532,3227,BARNSTABLE,41.75126,-70.59837,4/24/2007,1/2/2012
826666,Bradford Natural Market  ,Medium Grocery Store,141,Bradford St, ,Provincetown,MA,2657,1436,BARNSTABLE,42.0536,-70.18581,7/31/2007,7/12/2012
1167000,Brewster Farms  ,Convenience Store,2771,Main St, ,Brewster,MA,2631,1948,BARNSTABLE,41.76953,-70.05505,9/10/2014,2/17/2020
1399959,Brewster Farms Country Market  ,Convenience Store,2771,Main St,,Brewster,MA,2631,1948,BARNSTABLE,41.76945,-70.05514,4/7/2020,1/3/2025
1399959,Brewster Farms Country Market  ,Convenience Store,2771,Main St,,Brewster,MA,2631,1948,BARNSTABLE,41.76945,-70.05514,6/30/2025, 
1031909,Brewster Farms Market & Subway  ,Medium Grocery Store,2771,Main St, ,Brewster,MA,2631,1948,BARNSTABLE,41.76953,-70.05505,1/5/2012,9/2/2014
1280582,Brewster Historical Society Farmers' Market  ,Farmers' Market,51,Drummer Boy Rd, ,Brewster,MA,2631,1052,BARNSTABLE,41.75248,-70.12023,3/25/2017,11/19/2021
1556822,Brewster Village Marketplace  ,Convenience Store,1760,Main St,,Brewster,MA,2631,1887,BARNSTABLE,41.75757,-70.08726,9/6/2023,7/30/2024
778937,BROOKS PHARMACY 352,Convenience Store,520,Main St, ,Falmouth,MA,2540,3129,BARNSTABLE,41.55242,-70.60825,3/14/2006,5/20/2007
1544342,Brother's Food Mart  ,Convenience Store,444,Route 28,,West Yarmouth,MA,2673,4840,BARNSTABLE,41.651,-70.24081,5/2/2023, 
944228,Buck Island Country Store  ,Convenience Store,528,Buck Island Rd, ,West Yarmouth,MA,2673,3353,BARNSTABLE,41.66062,-70.25539,4/20/2010,11/24/2013
1555750,Buckys Convenience Store  ,Convenience Store,1047,Route 28,,South Yarmouth,MA,2664,4105,BARNSTABLE,41.65948,-70.20221,8/23/2023, 
778421,BUZZARDS BAY XTRA MART  ,Convenience Store,261,Main St, ,Buzzards Bay,MA,2532,3232,BARNSTABLE,41.75034,-70.60137,3/8/2006,7/19/2009
1590459,Cape And Island Produce  ,Fruits/Veg Specialty,583,Iyannough Rd,,Hyannis,MA,2601,1946,BARNSTABLE,41.66582,-70.28956,4/12/2024, 
1539666,Cape Cod Caribbean Cafe  ,Medium Grocery Store,18A,Center St,,Hyannis,MA,2601,5536,BARNSTABLE,41.65541,-70.28103,3/27/2023, 
1153008,Cape Cod Convenience  ,Convenience Store,50,Long Pond Dr, ,South Yarmouth,MA,2664,4180,BARNSTABLE,41.65786,-70.20615,7/24/2014,1/30/2022
1477092,Cape Cod Convenience Llc  ,Convenience Store,50,Long Pond Dr,,South Yarmouth,MA,2664,4180,BARNSTABLE,41.65735,-70.20598,1/31/2022,6/16/2022
1120403,Cape Cod Farms 002,Convenience Store,252,Route 28, ,West Yarmouth,MA,2673,4659,BARNSTABLE,41.65437,-70.25424,11/5/2013,9/4/2017
1296475,Cape Cod Farms  ,Convenience Store,252,Main St, ,West Yarmouth,MA,2673,4659,BARNSTABLE,41.65443,-70.25428,9/18/2017,3/1/2022
1296475,Cape Cod Farms  ,Convenience Store,252,Main St, ,West Yarmouth,MA,2673,4659,BARNSTABLE,41.65443,-70.25428,4/22/2022, 
1530678,Cape Cod Farms  ,Convenience Store,14,E Main St,,West Yarmouth,MA,2673,8107,BARNSTABLE,41.65755,-70.27011,1/23/2023, 
1602087,Cape Cod Farms  ,Convenience Store,601,Route 28,,West Yarmouth,MA,2673,5060,BARNSTABLE,41.6493,-70.22951,6/27/2024, 
1047843,Cape Cod Farms LLC  ,Convenience Store,773,Main St, ,Dennis,MA,2638,1908,BARNSTABLE,41.73838,-70.19184,4/2/2012,11/29/2017
379261,CAPE COD NATURAL FOODS 07,Convenience Store,1600,Falmouth Rd,Ste 27,Centerville,MA,2632,2939,BARNSTABLE,41.65717,-70.34523,5/22/1996,7/24/2013
379261,CAPE COD NATURAL FOODS 07,Convenience Store,1600,Falmouth Rd,Ste 27,Centerville,MA,2632,2939,BARNSTABLE,41.65717,-70.34523,8/13/2013,4/11/2019
1243730,Cape Cod Organic Farm  ,Fruits/Veg Specialty,4305,Main St, ,Cummaquid,MA,2637, ,BARNSTABLE,41.70204,-70.2679,8/31/2017,9/23/2019
950090,Cape Codder Seafood Market  ,Combination Grocery/Other,679,Route 28, ,West Yarmouth,MA,2673,5102,BARNSTABLE,41.64898,-70.22384,11/5/2010,8/24/2015
1331110,Cape Food Mart  ,Convenience Store,696,Yarmouth Rd, ,Hyannis,MA,2601,2090,BARNSTABLE,41.67125,-70.26768,8/23/2018, 
501553,Cape Groceries  ,Medium Grocery Store,590,Route 28, ,West Yarmouth,MA,2673,5062,BARNSTABLE,41.6497,-70.22996,6/15/2007,5/4/2015
644416,"CAPE MART INC.,  ",Small Grocery Store,130,Center St, ,Hyannis,MA,2601,5540,BARNSTABLE,41.65695,-70.28345,1/22/1998, 
995946,Cape Side Convenience  ,Convenience Store,105,Trowbridge Rd,,Buzzards Bay,MA,2532,3615,BARNSTABLE,41.74244,-70.58985,5/31/2011, 
1268519,Cash Market  ,Convenience Store,105,Route 149, ,Marstons Mills,MA,2648,1839,BARNSTABLE,41.65364,-70.41323,3/6/2017,12/12/2025
1005119,Centerville Convenience  ,Convenience Store,619,Main St,Ste 3,Centerville,MA,2632,2954,BARNSTABLE,41.64419,-70.34658,6/17/2011,4/11/2016
1421614,Centerville Food Mart  ,Convenience Store,1149,Falmouth Rd,,Centerville,MA,2632,3021,BARNSTABLE,41.65821,-70.32945,9/4/2020,8/25/2025
1653060,Centerville Food Mart  ,Convenience Store,1149,Falmouth Rd/Rte 28, ,Centerville,MA,2632,3021,BARNSTABLE,41.6582,-70.32948,8/19/2025, 
1352484,Centerville Food Shop  ,Convenience Store,1638,Falmouth Rd,,Centerville,MA,2632,2948,BARNSTABLE,41.65789,-70.3475,3/7/2019,12/16/2024
1352484,Centerville Food Shop  ,Convenience Store,1638,Falmouth Rd,,Centerville,MA,2632,2948,BARNSTABLE,41.65789,-70.3475,8/18/2025, 
990728,Centerville Lobster & Fish Market  ,Small Grocery Store,1600,Falmouth Rd,Ste 12,Centerville,MA,2632,2939,BARNSTABLE,41.65717,-70.34523,2/17/2011,3/18/2013
1596498,Chatham Light Fisheries  ,Delivery Route,202,Commerce Park N,,South Chatham,MA,2659,1429,BARNSTABLE,41.68847,-70.0153,5/20/2024,7/21/2025
600944,CHATHAM NATURAL FOODS  ,Medium Grocery Store,1291,MAIN STREET, ,CHATHAM,MA,2633, ,BARNSTABLE,41.68473,-69.98145,1/28/1991,6/1/2006
1645933,Chatham Village Market  ,Combination Grocery/Other,20,Queen Anne Rd,,Chatham,MA,2633,1859,BARNSTABLE,41.68444,-69.96821,6/30/2025, 
644962,CHATHAM VILLAGE MARKET INC  ,Super Store,20,Queen Anne Rd,,Chatham,MA,2633,1859,BARNSTABLE,41.68443,-69.9668,8/26/2003,5/19/2025
364291,"CHRISTY'S #603, CAPE COD 603",Convenience Store,489,BEARSES WAY, ,HYANNIS,MA,2601, ,BARNSTABLE,41.66253,-70.29942,1/1/1930,5/31/2006
280185,"CHRISTY'S #604, CAPE COD 604",Convenience Store,715,Main St, ,Harwich,MA,2645,2751,BARNSTABLE,41.68624,-70.07455,1/1/1930,9/14/2006
389175,"CHRISTY'S #605, CAPE COD 605",Convenience Store,305,Main St, ,Dennisport,MA,2639, ,BARNSTABLE,41.66582,-70.13625,1/1/1930,7/14/2009
315854,"CHRISTY'S #607, CAPE COD 607",Medium Grocery Store,50,Ocean St, ,Hyannis,MA,2601,4006,BARNSTABLE,41.65202,-70.28127,1/1/1930,7/14/2009
234649,"CHRISTY'S #609, CAPE COD 609",Convenience Store,441,Route 28, ,West Yarmouth,MA,2673,4844,BARNSTABLE,41.65052,-70.24152,7/30/1996,7/14/2009
801982,CHRISTY'S OF CAPE COD 610,Convenience Store,317,Falmouth Rd, ,Hyannis,MA,2601, ,BARNSTABLE,41.66332,-70.29919,10/6/2006,7/14/2009
801993,CHRISTY'S OF CAPE COD 618,Convenience Store,336,Route 130, ,Sandwich,MA,2563,2302,BARNSTABLE,41.71846,-70.48853,1/9/2007,7/14/2009
762103,CHRISTYS OF CAPE COD 615,Convenience Store,399,S Orleans Rd, ,Orleans,MA,2653,4001,BARNSTABLE,41.75306,-69.99101,9/2/2005,6/1/2006
712861,CHRISTYS OF CAPE COD LLC 612,Convenience Store,14,E Main St, ,West Yarmouth,MA,2673,8107,BARNSTABLE,41.65738,-70.27001,8/15/2005,7/15/2009
773842,CHRISTYS OF CAPE COD LLC 616,Convenience Store,156,Iyannough Rd, ,Hyannis,MA,2601,2029,BARNSTABLE,41.65958,-70.27522,12/2/2005,7/15/2009
760516,CHRISTYS OF CAPE COD LLC 617,Convenience Store,1196,SANDWICH RD, ,FALMOUTH,MA,2536, ,BARNSTABLE,41.624,-70.55042,12/2/2005,7/15/2009
756652,CHRISTYS OF CAPE COD LLC 620,Convenience Store,1353,Route 28, ,South Yarmouth,MA,2664,4509,BARNSTABLE,41.66664,-70.18478,12/3/2005,7/15/2009
635857,Coast Guard Exchange 431,Military Commissary,5203,Lee Rd, ,Buzzards Bay,MA,2542,1345,BARNSTABLE,41.66434,-70.57502,1/1/1930,7/7/2005
635857,Coast Guard Exchange 431,Military Commissary,5203,Lee Rd, ,Buzzards Bay,MA,2542,1345,BARNSTABLE,41.66434,-70.57502,9/6/2005,11/4/2010
635857,Coast Guard Exchange 431,Military Commissary,5203,Lee Rd, ,Buzzards Bay,MA,2542,1345,BARNSTABLE,41.66434,-70.57502,3/1/2011,4/11/2019
1592926,Colbea Enterprises LLC 92,Convenience Store,473,Station Ave, ,South Yarmouth,MA,2664,1848,BARNSTABLE,41.68586,-70.20967,3/26/2024, 
1125745,"Commons Convenience, Inc  ",Convenience Store,414,Nathan Ellis Hwy, ,Mashpee,MA,2649,3144,BARNSTABLE,41.61591,-70.51794,12/13/2013,6/14/2022
902455,Corner Food Mart  ,Convenience Store,640,Main St,Ste 1,Hyannis,MA,2601,5422,BARNSTABLE,41.64886,-70.29152,7/7/2009,2/24/2014
1286181,Corner Food Mart  ,Convenience Store,640,Main St, ,Hyannis,MA,2601,5422,BARNSTABLE,41.64888,-70.29147,6/28/2017, 
952121,Country Farms  ,Convenience Store,365,Barlows Landing Rd, ,Pocasset,MA,2559,1970,BARNSTABLE,41.69325,-70.61897,6/9/2010,9/18/2019
1380616,Country Farms individual,Convenience Store,365,Barlows Landing Rd,,Pocasset,MA,2559,1970,BARNSTABLE,41.69325,-70.61895,10/25/2019, 
423194,CUMBERLAND FARMS  2221,Convenience Store,215,W Main St, ,Hyannis,MA,2601,3737,BARNSTABLE,41.64785,-70.3045,1/1/1930,2/27/2017
655463,Cumberland Farms 2268,Convenience Store,626,Main St, ,West Yarmouth,MA,2673,5061,BARNSTABLE,41.64928,-70.22768,1/1/1930, 
340459,CUMBERLAND FARMS  2302,Convenience Store,160,Main St, ,Buzzards Bay,MA,2532,3225,BARNSTABLE,41.74674,-70.6097,1/1/1930, 
234401,CUMBERLAND FARMS 2315,Convenience Store,460,Route 134, ,South Dennis,MA,2660,3423,BARNSTABLE,41.6918,-70.15264,1/1/1930, 
588629,CUMBERLAND FARMS 2262,Convenience Store,1297,Route 28, ,S Yarmouth,MA,2664,4453,BARNSTABLE,41.66702,-70.18884,1/1/1930,6/10/2024
333300,Cumberland Farms 2326,Convenience Store,395,W Main St,,Hyannis,MA,2601,3644,BARNSTABLE,41.64857,-70.31134,9/16/1983, 
536798,CUMBERLAND FARMS  2295,Convenience Store,375,Barnstable Rd, ,Hyannis,MA,2601,2933,BARNSTABLE,41.66316,-70.28642,2/3/1984, 
906189,Cumberland Farms 2232,Convenience Store,100,Shank Painter Rd, ,Provincetown,MA,2657,1341,BARNSTABLE,42.0533,-70.19566,7/8/2009, 
962519,Cumberland Farms 6756,Convenience Store,678,Main St,,Chatham,MA,2633,1825,BARNSTABLE,41.68285,-69.96204,7/28/2010, 
962509,Cumberland Farms 2307,Convenience Store,2586,State Hwy Rte 6, ,Wellfleet,MA,2667,8913,BARNSTABLE,41.93459,-70.02039,7/28/2010, 
1273124,Cumberland Farms 6731,Convenience Store,4460,STATE HWY ROUTE 6, ,EASTHAM,MA,2642, ,BARNSTABLE,41.85581,-69.98724,1/25/2017, 
1216135,Cumberland Farms Inc 6752,Convenience Store,212,Teaticket Hwy, ,E Falmouth,MA,2536,5637,BARNSTABLE,41.56598,-70.59564,9/23/2015, 
962514,"Cumberland Farms, Inc 2342",Convenience Store,797,E Main St, ,Falmouth,MA,2540,3657,BARNSTABLE,41.55397,-70.60198,7/28/2010,10/15/2017
962499,"Cumberland Farms, Inc 2269",Convenience Store,16,W Bay Rd, ,Osterville,MA,2655,2401,BARNSTABLE,41.62749,-70.38354,7/28/2010,8/27/2018
962512,"Cumberland Farms, Inc 2333",Convenience Store,485,Waquoit Hwy, ,East Falmouth,MA,2536,7816,BARNSTABLE,41.58756,-70.5169,7/28/2010, 
962518,"Cumberland Farms, Inc 2352",Convenience Store,119,Cranberry Hwy, ,Orleans,MA,2653,3206,BARNSTABLE,41.78698,-69.99261,7/28/2010, 
962508,"Cumberland Farms, Inc 2305",Convenience Store,578,Main St, ,Harwich Port,MA,2646,1838,BARNSTABLE,41.66796,-70.07207,7/28/2010, 
962517,"Cumberland Farms, Inc 2348",Convenience Store,1171,Iyannough Rd, ,Hyannis,MA,2601,1832,BARNSTABLE,41.67427,-70.30791,7/28/2010, 
962516,"Cumberland Farms, Inc 2346",Convenience Store,400,E Falmouth Hwy, ,East Falmouth,MA,2536,6006,BARNSTABLE,41.57859,-70.55934,7/28/2010, 
962505,"Cumberland Farms, Inc 2298",Convenience Store,435,Shore Rd, ,Monument Beach,MA,2553, ,BARNSTABLE,41.71933,-70.61374,7/28/2010, 
962511,"Cumberland Farms, Inc 2322",Convenience Store,2639,Main St,,Brewster,MA,2631,1953,BARNSTABLE,41.76763,-70.05914,7/28/2010, 
1092156,CVS 1870,Combination Grocery/Other,415,E Falmouth Hwy, ,East Falmouth,MA,2536,6196,BARNSTABLE,41.57844,-70.55885,2/19/2013,8/13/2013
1114570,CVS 1870,Combination Grocery/Other,419,E Falmouth Hwy,,East Falmouth,MA,2536,6166,BARNSTABLE,41.57795,-70.55844,8/14/2013, 
410096,CVS PHARMACY  2322,Combination Grocery/Other,176,North St, ,Hyannis,MA,2601,3824,BARNSTABLE,41.65217,-70.28909,9/12/2000, 
402710,CVS PHARMACY 860,Combination Grocery/Other,6,Post Office Sq,MAIN,Harwich Port,MA,2646,1883,BARNSTABLE,41.66811,-70.08047,11/5/2000, 
436180,CVS PHARMACY  1859,Combination Grocery/Other,148,Route 137, ,East Harwich,MA,2645,1316,BARNSTABLE,41.70847,-70.02322,11/5/2000, 
604252,CVS PHARMACY 636,Combination Grocery/Other,65,Tupper Rd, ,Sandwich,MA,2563,1868,BARNSTABLE,41.76764,-70.50595,12/12/2000, 
661967,CVS PHARMACY  2200,Combination Grocery/Other,1030,Putnam Ave, ,Marstons Mills,MA,2648,1896,BARNSTABLE,41.6478,-70.42397,3/19/2001, 
519950,CVS PHARMACY 735,Combination Grocery/Other,976,Route 28, ,South Yarmouth,MA,2664,5644,BARNSTABLE,41.65622,-70.20593,7/22/2004, 
907161,CVS Pharmacy 944,Combination Grocery/Other,465,Station Ave,,South Yarmouth,MA,2664,1849,BARNSTABLE,41.6857,-70.20888,7/15/2009, 
909740,CVS Pharmacy 594,Combination Grocery/Other,105,Davis Straights,Route 28,Falmouth,MA,2540, ,BARNSTABLE,41.56028,-70.5994,7/30/2009, 
909830,CVS Pharmacy 1576,Combination Grocery/Other,6,Head of the Bay Rd, ,Buzzards Bay,MA,2532,3009,BARNSTABLE,41.75285,-70.59851,7/31/2009, 
909824,CVS Pharmacy 1021,Combination Grocery/Other, ,Route 134,Patriot Square Mall,South Dennis,MA,2660, ,BARNSTABLE,41.72111,-70.15697,7/31/2009, 
909901,CVS Pharmacy 1869,Combination Grocery/Other,1080,Falmouth Rd, ,Hyannis,MA,2601,2346,BARNSTABLE,41.65909,-70.32745,7/31/2009, 
956460,CVS Pharmacy 1253,Combination Grocery/Other,8,Greene St,,Mashpee,MA,2649,2449,BARNSTABLE,41.61709,-70.48892,6/10/2010, 
962587,CVS Pharmacy  719,Combination Grocery/Other,110,Main St, ,Orleans,MA,2653,3432,BARNSTABLE,41.78345,-69.98217,7/28/2010, 
962627,CVS Pharmacy  1850,Combination Grocery/Other,77,Quaker Meeting House Rd, ,Sandwich,MA,2563,5103,BARNSTABLE,41.69987,-70.48564,7/28/2010, 
